,repository_name,language
0,abracad,Clojure
1,ai_barcode,
2,alohomora-fork,
3,amazon-ebs-autoscale,Shell
4,Amplitude-Android,Java
5,Amplitude-Flutter,Dart
6,Amplitude-Flutter-New,
7,Amplitude-iOS,Objective-C
8,Amplitude-JavaScript,JavaScript
9,androidx,
10,android_package_manager,Kotlin
11,angular-google-maps,JavaScript
12,apollo-federation-subgraph-compatibility,
13,apollo-ios,Swift
14,artemis,
15,automerge-action,JavaScript
16,avro,Java
17,batch.dart,
18,bcrypt,C
19,bigquery-data-lineage,Java
20,bin,Shell
21,bluepill,Objective-C
22,BonMot,Swift
23,bors-ng,Elixir
24,box2d.dart,Dart
25,bugsnag-react-native,Java
26,burrow,Go
27,bytebank-flutter,Dart
28,cats,Clojure
29,clj-bigpanda,Clojure
30,clj-depend,
31,clj-github,Clojure
32,clj-github-app,Clojure
33,clj-github-mock,Clojure
34,clj-kubernetes-api,Clojure
35,clj-owasp,
36,cljnvim,Nix
37,clojupyter,Clojure
38,clojure-boost,
39,clojure-koans,Clojure
40,clojure-style-guide,
41,common-spreadsheet,
42,conda-recipes,Shell
43,create-react-app,JavaScript
44,CSStickyHeaderFlowLayout,
45,Cuckoo,Swift
46,cyavro,Python
47,data-infra-opsgenie-incident-management-module,HCL
48,data.xml,Clojure
49,delayed_job_active_record,Ruby
50,desafio-cocoaheads,
51,detox,JavaScript
52,diversidados-curso-ds,Jupyter Notebook
53,docopt.clj,Clojure
54,DynamicIcon,
55,dynamic_icon_flutter,
56,edn_format,Python
57,emidje,Emacs Lisp
58,facturama-clojure-sdk,Clojure
59,fastai,Jupyter Notebook
60,fast_barcode_scanner,
61,fat-aar,Groovy
62,finagle-clojure,Clojure
63,finagle-kafka,Scala
64,firebase-ios-sdk,
65,fklearn,Jupyter Notebook
66,flare-flutter,
67,fluent-plugin-nuopenlineage-light,
68,flutter,Dart
69,flutter-network-capabilities,Dart
70,flutter-passkeys,Dart
71,flutterfire,Dart
72,flutter_engine,
73,flutter_file_picker,Java
74,flutter_inappwebview,Dart
75,flutter_ua_client_hints,Dart
76,flutter_windowmanager,
77,fl_chart,Dart
78,foreman,Ruby
79,fork-prometheus-elasticache-sd,Go
80,Freddy,Swift
81,games,JavaScript
82,gatsby,JavaScript
83,ghas-jira-integration,
84,github-actions,TypeScript
85,github-inactive-users,
86,go-ibft,Go
87,graffiti-monkey,Python
88,hack-her-way,
89,heroku-log-s3,Ruby
90,hiring-without-whiteboards,
91,httpie.action,HCL
92,http_interceptor,
93,i18next,Dart
94,ibis,Python
95,Instabug-Flutter,
96,ios-charts,Swift
97,ivy-s3-resolver,Java
98,jiboia,
99,k8s-api,Clojure
100,lacinia,Clojure
101,lein-add-libs,Clojure
102,lein-jupyter,JavaScript
103,logica-js,
104,martian,Clojure
105,matcher-combinators,Clojure
106,memcached_exporter,
107,midje-nrepl,Clojure
108,mkdocs-git-revision-date-localized-plugin,Python
109,mmlspark,Scala
110,mobile-book-club,Ruby
111,mobile-pairing-exercises,Swift
112,mobile_scanner,
113,mockfn,Clojure
114,morse,JavaScript
115,new-grad-template,Clojure
116,nixpkgs,Nix
117,node-modules-boilerplate,JavaScript
118,nodely,Clojure
119,nuinvest-ios-charts,Swift
120,nuinvest-ios-snapshot-test-case,Objective-C
121,nuinvest-nimble,Swift
122,nuinvest-nimble-snapshots,Swift
123,nuinvest-quick,Swift
124,NuMarquez,Java
125,NuOpenLineage,Java
126,NuOpenMetadata,TypeScript
127,nuvigator,Dart
128,objectbox-dart-performance,
129,open-mail-app-flutter,
130,open-source,
131,opentelemetry-dart,Dart
132,ordnungsamt,Clojure
133,our-metaflow,
134,pathom,Clojure
135,pedestal-swagger,Clojure
136,pipeline,
137,plugins,Dart
138,polygon-edge,Go
139,prevayler-clj-aws,Clojure
140,prismatic-graphql,Clojure
141,pusher_client,
142,pusher_client_2,
143,pypicloud-docker,Shell
144,qr_code_scanner,
145,react-intl-universal,JavaScript
146,react-native-calendars,JavaScript
147,react-native-camera,
148,react-native-fullwidth-image,JavaScript
149,react-native-gesture-recognizers,JavaScript
150,react-native-linear-gradient,Java
151,react-native-manifest,Java
152,react-native-masked-text,JavaScript
153,react-native-popover-tooltip,JavaScript
154,react-native-shimmer-placeholder,JavaScript
155,react-native-svg-uri,JavaScript
156,react-reveal,JavaScript
157,record,
158,ReSwift,Swift
159,robocode-clojure,Clojure
160,RxApollo,Swift
161,RxDataSources,Swift
162,s3-wagon-private,
163,sbt-databricks,Scala
164,sbt-docker-recomplile,
165,sbt-s3-resolver,Scala
166,selvage,Clojure
167,sentry-javascript,
168,setup-clojure,
169,Sourcery,Swift
170,spark-avro,Scala
171,spark-jobserver,Scala
172,spark-testing-base,Scala
173,spec-spi-code,Java
174,spec-tools,Clojure
175,st-click-detector,
176,state-flow,Clojure
177,stateful-check,
178,stem-spec-coerce,
179,stoken,
180,SwiftCheck,Swift
181,tekton-watcher,Clojure
182,tektoncd-experimental,
183,temporal-clojure-sdk,
184,toml,Python
185,transifex-interface-ruby,Ruby
186,umschreiben-clj,Clojure
187,vessel,Clojure
188,VictoriaMetricsRelabelTests,Go
189,wakelock,
190,workspaces,Clojure
